000001.XSHE,-1.570046
000002.XSHE,-0.781723
000006.XSHE,0.13917
000007.XSHE,0.188528
000008.XSHE,-0.306949
000009.XSHE,-0.260419
000010.XSHE,-0.702685
000011.XSHE,-0.795829
000012.XSHE,0.091523
000014.XSHE,-0.511124
000016.XSHE,-0.212343
000017.XSHE,0.191184
000019.XSHE,-0.99786
000020.XSHE,-0.930556
000021.XSHE,2.526502
000025.XSHE,-1.432033
000026.XSHE,0.939545
000027.XSHE,-0.679515
000028.XSHE,-1.301904
000029.XSHE,0.159986
000030.XSHE,-0.635041
000031.XSHE,-0.56501
000032.XSHE,2.087688
000034.XSHE,0.976009
000035.XSHE,-0.09598
000036.XSHE,0.245049
000037.XSHE,-0.854116
000039.XSHE,0.190605
000042.XSHE,-0.642012
000045.XSHE,-0.378043
000048.XSHE,0.52825
000049.XSHE,0.230804
000050.XSHE,0.538322
000055.XSHE,-0.239757
000056.XSHE,0.101403
000058.XSHE,-0.631465
000059.XSHE,-1.439191
000060.XSHE,1.263464
000061.XSHE,-0.576469
000062.XSHE,1.038995
000063.XSHE,0.934587
000065.XSHE,-0.271292
000066.XSHE,1.197363
000068.XSHE,-0.582095
000069.XSHE,-0.796073
000070.XSHE,1.891248
000078.XSHE,-1.413581
000088.XSHE,-1.131249
000089.XSHE,-1.27363
000090.XSHE,-0.902094
000096.XSHE,-1.242006
000099.XSHE,-0.443111
000100.XSHE,0.531771
000151.XSHE,-0.233507
000153.XSHE,-0.750518
000155.XSHE,-0.178739
000156.XSHE,-0.588841
000157.XSHE,-0.654545
000158.XSHE,0.137126
000159.XSHE,-0.588772
000166.XSHE,-0.767927
000301.XSHE,-0.396874
000333.XSHE,-1.708202
000338.XSHE,1.314612
000400.XSHE,-0.533968
000401.XSHE,-1.092113
000402.XSHE,-0.47576
000403.XSHE,-1.179587
000404.XSHE,-0.674329
000407.XSHE,-1.086034
000408.XSHE,0.406068
000409.XSHE,-0.356536
000410.XSHE,-0.117991
000411.XSHE,-0.714387
000415.XSHE,0.057121
000417.XSHE,0.50015
000419.XSHE,-0.926771
000420.XSHE,-0.026646
000421.XSHE,-1.01361
000422.XSHE,-0.160414
000423.XSHE,-1.500561
000425.XSHE,-0.755188
000426.XSHE,2.043282
000428.XSHE,-0.375054
000429.XSHE,-1.383514
000430.XSHE,-0.759809
000488.XSHE,-0.95268
000498.XSHE,-1.221514
000501.XSHE,-0.728025
000503.XSHE,-0.621171
000504.XSHE,-0.62274
000505.XSHE,-1.127593
000506.XSHE,0.792118
000507.XSHE,-0.912997
000509.XSHE,0.740819
000510.XSHE,2.668846
000513.XSHE,-0.923086
000514.XSHE,-0.48903
000516.XSHE,-0.549309
000517.XSHE,-0.784211
000518.XSHE,-0.284762
000519.XSHE,0.664104
000520.XSHE,-0.26548
000521.XSHE,-0.731004
000523.XSHE,-0.714481
000524.XSHE,-0.766012
000525.XSHE,-0.999477
000526.XSHE,-0.969248
000528.XSHE,-0.736497
000529.XSHE,-1.054883
000530.XSHE,-0.235351
000531.XSHE,-0.498348
000532.XSHE,0.020153
000533.XSHE,0.546786
000534.XSHE,1.637998
000536.XSHE,0.017438
000537.XSHE,-0.715665
000538.XSHE,-1.537453
000539.XSHE,-0.017618
000541.XSHE,-0.575072
000543.XSHE,-0.989639
000544.XSHE,-0.889957
000545.XSHE,0.000212
000546.XSHE,0.49032
000547.XSHE,0.827436
000548.XSHE,-0.761121
000550.XSHE,-0.828898
000551.XSHE,1.129515
000552.XSHE,-1.159107
000553.XSHE,-0.451354
000554.XSHE,-1.264474
000555.XSHE,0.505038
000557.XSHE,-0.981507
000558.XSHE,-0.621791
000559.XSHE,0.638591
000560.XSHE,-0.871086
000561.XSHE,0.039347
000563.XSHE,-0.848077
000564.XSHE,-0.118789
000565.XSHE,-0.471385
000566.XSHE,-0.454833
000567.XSHE,0.065518
000568.XSHE,-1.281878
000570.XSHE,-0.388123
000571.XSHE,0.3938
000572.XSHE,-0.264014
000573.XSHE,-0.515791
000576.XSHE,0.059585
000581.XSHE,-0.507023
000582.XSHE,-0.281785
000586.XSHE,1.025446
000589.XSHE,-0.74684
000590.XSHE,-0.458746
000591.XSHE,-0.616151
000592.XSHE,0.218134
000593.XSHE,0.734568
000595.XSHE,-0.502822
000596.XSHE,-1.052736
000597.XSHE,-0.688511
000598.XSHE,-1.225045
000599.XSHE,-0.405781
000600.XSHE,-0.378901
000601.XSHE,-0.297739
000603.XSHE,1.734587
000605.XSHE,-0.544139
000607.XSHE,-0.469477
000608.XSHE,-0.53763
000609.XSHE,-0.19326
000610.XSHE,-0.506148
000612.XSHE,0.338332
000615.XSHE,-0.80819
000617.XSHE,-0.681072
000619.XSHE,-0.558128
000620.XSHE,0.060365
000623.XSHE,-0.355013
000625.XSHE,-1.038568
000626.XSHE,-0.298366
000628.XSHE,-0.081933
000629.XSHE,0.319144
000630.XSHE,1.255335
000631.XSHE,-0.483671
000632.XSHE,-0.557946
000633.XSHE,-0.230351
000635.XSHE,-0.467869
000636.XSHE,2.015921
000637.XSHE,-0.659582
000639.XSHE,-0.556252
000650.XSHE,-0.969718
000651.XSHE,-1.489407
000652.XSHE,-0.653742
000655.XSHE,-0.195785
000656.XSHE,-0.983079
000657.XSHE,2.518627
000659.XSHE,-0.072141
000661.XSHE,-0.371903
000663.XSHE,-0.457475
000665.XSHE,-0.148393
000668.XSHE,-0.672255
000669.XSHE,-1.10528
000670.XSHE,1.032131
000672.XSHE,0.955511
000676.XSHE,-0.364969
000677.XSHE,-0.403409
000678.XSHE,-0.071804
000679.XSHE,-0.269416
000680.XSHE,-0.539716
000681.XSHE,0.333418
000682.XSHE,0.002649
000683.XSHE,-0.754416
000685.XSHE,-0.410047
000686.XSHE,-0.375687
000688.XSHE,0.263069
000690.XSHE,-0.657167
000691.XSHE,0.37058
000692.XSHE,-0.321922
000695.XSHE,-0.443551
000697.XSHE,-0.028756
000698.XSHE,-0.701986
000700.XSHE,1.058819
000701.XSHE,-0.01762
000702.XSHE,-0.626943
000703.XSHE,-0.962854
000705.XSHE,-0.775815
000707.XSHE,-0.760199
000708.XSHE,-1.078062
000709.XSHE,-0.787716
000710.XSHE,0.163506
000711.XSHE,-0.403229
000712.XSHE,0.284831
000713.XSHE,-0.88095
000715.XSHE,-0.544783
000716.XSHE,-0.617732
000717.XSHE,-0.726907
000718.XSHE,-0.581277
000719.XSHE,-1.25116
000720.XSHE,0.346513
000721.XSHE,-1.008865
000722.XSHE,-0.832772
000723.XSHE,-1.284238
000725.XSHE,1.080459
000726.XSHE,-0.92416
000727.XSHE,0.288623
000728.XSHE,-0.571769
000729.XSHE,-1.499784
000731.XSHE,-1.059969
000733.XSHE,1.174177
000735.XSHE,-0.469286
000736.XSHE,-0.95412
000737.XSHE,1.199403
000738.XSHE,0.040113
000739.XSHE,-0.238341
000750.XSHE,-0.448154
000751.XSHE,1.307973
000752.XSHE,-0.745428
000753.XSHE,-0.3607
000755.XSHE,-1.089957
000756.XSHE,-0.567996
000757.XSHE,-0.256968
000758.XSHE,0.705635
000759.XSHE,-0.641257
000761.XSHE,-0.676591
000762.XSHE,0.391333
000766.XSHE,-0.245079
000767.XSHE,-0.078482
000768.XSHE,-0.450932
000776.XSHE,0.094687
000777.XSHE,0.100472
000778.XSHE,-0.730729
000779.XSHE,-1.144591
000782.XSHE,0.515099
000783.XSHE,0.433619
000785.XSHE,-0.837732
000786.XSHE,-1.313813
000788.XSHE,-0.88623
000789.XSHE,-0.966344
000790.XSHE,-0.441617
000791.XSHE,-0.275015
000792.XSHE,0.008443
000793.XSHE,-0.87415
000795.XSHE,0.013392
000796.XSHE,-0.380651
000797.XSHE,-0.573474
000798.XSHE,-1.000454
000799.XSHE,-0.467787
000800.XSHE,-0.973115
000801.XSHE,-0.291324
000802.XSHE,0.180947
000803.XSHE,-0.226299
000807.XSHE,-0.243099
000809.XSHE,-0.717292
000810.XSHE,0.341903
000811.XSHE,2.703021
000812.XSHE,-0.711818
000813.XSHE,-0.786272
000815.XSHE,1.422523
000816.XSHE,-0.151837
000818.XSHE,0.74391
000819.XSHE,-0.597086
000820.XSHE,-0.831293
000821.XSHE,-0.395799
000822.XSHE,-0.77308
000823.XSHE,2.326843
000825.XSHE,-0.436457
000826.XSHE,-0.078559
000828.XSHE,-1.088771
000829.XSHE,-0.312538
000830.XSHE,-0.543358
000831.XSHE,1.06377
000833.XSHE,-0.440934
000837.XSHE,0.28117
